"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
126,90.2283118748807,109.093288853513,"805568538.230627011530_sel08_1015.wav",1015,-172.4,20,5000
138,105.982118934639,122.494107138805,"805568538.230627011530_sel08_227.wav",227,-172.4,20,5000
210,101.085015625428,121.191351475405,"805568538.230627011530_sel08_239.9448399.wav",239.9448399,-172.4,20,5000
213,96.1639404337649,114.946369558829,"805568538.230627011530_sel08_348.7526665.wav",348.7526665,-172.4,20,5000
126,96.7024140511601,113.296544924502,"805568538.230627011530_sel08_510.wav",510,-172.4,20,5000
167,92.8976971753064,110.695366206738,"805568538.230627011530_sel08_666.wav",666,-172.4,20,5000
127,89.1370030243158,108.956649873432,"805568538.230627011530_sel09_1019.wav",1019,-172.4,20,5000
196,110.302081793557,131.6005213913,"805568538.230627011530_sel09_103.wav",103,-172.4,20,5000
237,101.501778680763,120.794456515663,"805568538.230627011530_sel09_227.338955.wav",227.338955,-172.4,20,5000
291,92.4621307455828,113.639508645046,"805568538.230627011530_sel09_374.1745556.wav",374.1745556,-172.4,20,5000
127,97.2535301196499,113.976815034187,"805568538.230627011530_sel09_517.wav",517,-172.4,20,5000
193,92.8919338033466,110.570209301793,"805568538.230627011530_sel09_697.wav",697,-172.4,20,5000
176,89.6889030128637,108.455403394655,"805568538.230627011530_sel10_1032.wav",1032,-172.4,20,5000
202,102.418458639014,121.340183864206,"805568538.230627011530_sel10_224.3645401.wav",224.3645401,-172.4,20,5000
159,93.645501810338,113.894061501857,"805568538.230627011530_sel10_386.5629911.wav",386.5629911,-172.4,20,5000
185,97.0036393264974,114.549454179206,"805568538.230627011530_sel10_529.wav",529,-172.4,20,5000
717,91.2715590146045,110.372625731381,"805568538.230627011530_sel10_727.wav",727,-172.4,20,5000
196,117.379293464103,135.56507447144,"805568538.230627011530_sel10_8.wav",8,-172.4,20,5000
254,86.9588952573917,107.901522963927,"805568538.230627011530_sel11_1025.wav",1025,-172.4,20,5000
128,105.817459416057,124.070230827073,"805568538.230627011530_sel11_123.wav",123,-172.4,20,5000
